"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","test_login_not_exist_user_error_404","tests","Sun Apr 20 14:03:45 GMT+04:00 2025","passed","Sun Apr 20 14:03:45 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","1870","test_get_orders_return_list","tests","Sun Apr 20 14:03:38 GMT+04:00 2025","passed","Sun Apr 20 14:03:40 GMT+04:00 2025","TestGetOrders","test_get_orders","",""
"","977","test_create_courier_same_login_error_409","tests","Sun Apr 20 14:03:33 GMT+04:00 2025","passed","Sun Apr 20 14:03:34 GMT+04:00 2025","TestCreateCourier","test_create_courier","",""
"","1710","test_login_wrong_login_or_password_error_404[login]","tests","Sun Apr 20 14:03:42 GMT+04:00 2025","passed","Sun Apr 20 14:03:44 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","468","test_create_order_different_colors_return_track[color1]","tests","Sun Apr 20 14:03:36 GMT+04:00 2025","passed","Sun Apr 20 14:03:37 GMT+04:00 2025","TestCreateOrder","test_create_order","",""
"","1157","test_login_wrong_login_or_password_error_404[password]","tests","Sun Apr 20 14:03:44 GMT+04:00 2025","passed","Sun Apr 20 14:03:45 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","424","test_login_missing_required_field_error_400[password]","tests","Sun Apr 20 14:03:41 GMT+04:00 2025","skipped","Sun Apr 20 14:03:42 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","411","test_create_courier_missing_required_field_error_400[login]","tests","Sun Apr 20 14:03:34 GMT+04:00 2025","passed","Sun Apr 20 14:03:34 GMT+04:00 2025","TestCreateCourier","test_create_courier","",""
"","411","test_create_courier_missing_required_field_error_400[password]","tests","Sun Apr 20 14:03:34 GMT+04:00 2025","passed","Sun Apr 20 14:03:35 GMT+04:00 2025","TestCreateCourier","test_create_courier","",""
"","939","test_login_missing_required_field_error_400[login]","tests","Sun Apr 20 14:03:40 GMT+04:00 2025","passed","Sun Apr 20 14:03:41 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","506","test_create_order_different_colors_return_track[color0]","tests","Sun Apr 20 14:03:36 GMT+04:00 2025","passed","Sun Apr 20 14:03:36 GMT+04:00 2025","TestCreateOrder","test_create_order","",""
"","1037","test_create_courier_exist_login_error_409","tests","Sun Apr 20 14:03:35 GMT+04:00 2025","passed","Sun Apr 20 14:03:36 GMT+04:00 2025","TestCreateCourier","test_create_courier","",""
"","873","test_login_valid_data_return_id","tests","Sun Apr 20 14:03:40 GMT+04:00 2025","passed","Sun Apr 20 14:03:40 GMT+04:00 2025","TestLoginCourier","test_login_courier","",""
"","443","test_create_order_different_colors_return_track[color3]","tests","Sun Apr 20 14:03:37 GMT+04:00 2025","passed","Sun Apr 20 14:03:38 GMT+04:00 2025","TestCreateOrder","test_create_order","",""
"","750","test_create_courier_all_fields_201_ok_true","tests","Sun Apr 20 14:03:32 GMT+04:00 2025","passed","Sun Apr 20 14:03:33 GMT+04:00 2025","TestCreateCourier","test_create_courier","",""
"","532","test_create_order_different_colors_return_track[color2]","tests","Sun Apr 20 14:03:37 GMT+04:00 2025","passed","Sun Apr 20 14:03:37 GMT+04:00 2025","TestCreateOrder","test_create_order","",""
